,CO_NLST,NO2_NLST,O3_NLST,SO2_NLST,HCHO_NLST,CO_NDVI,NO2_NDVI,O3_NDVI,SO2_NDVI,HCHO_NDVI,CO_NTL,NO2_NTL,O3_NTL,SO2_NTL,HCHO_NTL
6-2018,0.2657361065673997,0.33043010735191836,0.2545466195212774,-0.07163511540584748,0.2532178162762669,0.14167346646469817,0.07748970264627884,-0.06015852337888775,-0.06221294363256783,0.08769634416816044,0.0640506252197275,0.3970472962122231,-0.007135068441193489,0.013155764564950368,-0.08068535453712906
7-2018,-0.19579097421822297,0.021474318750806343,-0.0670286672735043,-0.08535510820310975,0.17913474934195292,0.0933455657359624,-0.008925281327298843,0.13755387393174448,-0.02847603505223547,-0.09567977725597765,-0.4205624492173479,-0.08461001024857466,-0.2856131335470252,0.1660500319201136,0.03404392463880448
8-2018,-0.1952382603704971,-0.029708995983286936,0.15789643969387304,0.16865359788411163,-0.036075714159970136,0.25324133351273226,0.09653645901291892,0.24222609473131393,0.03186472163507654,0.0474917425856883,-0.10014764616660855,0.2767289672804996,-0.07544661582601066,0.15695250246069553,-0.11239143070149894
9-2018,0.4910964240296182,0.3702812395637905,0.2951734354091554,-0.13635866475114908,0.2416863788471304,0.06810077300682728,-0.24320662858797756,0.019489505691471804,0.06917933671587116,-0.18525970164801062,-0.03543895589824609,0.41055257429916636,-0.07107159946092433,-0.06122292197448774,0.19670582337596948
10-2018,0.3520110859859171,-0.1072620757902595,0.27782423854444466,-0.00871976440869969,0.0006971601439242358,-0.19187431889554427,-0.14477395735224544,-0.06196234743755257,-0.06380387935711525,-0.12301485683531611,0.07253091573018212,0.553950972009427,-0.20414889507302814,0.02858975082357128,0.2683741031862117
11-2018,0.25584627797446713,-0.03261418235322202,0.29210300099238184,-0.11103444459394356,0.041027630328256626,-0.1929800637421404,-0.09936143386039001,-0.06127999853732002,0.08690087630588673,-0.0746742607389789,0.1330891229207029,0.6911230083463903,-0.2236711700048387,0.12039310066449942,0.2610879387497341
12-2018,0.45339291837204154,-0.028159518921523095,0.3340222378900907,-0.0889403816856844,0.07608257848341356,-0.25506121988376684,0.07103188381894018,-0.2511864268938459,0.04749597437488877,-0.03955366559750693,-0.043926188915750494,0.7962699490883206,-0.4428270750639944,-0.02298512580349741,0.2726831496664482
1-2019,0.17992981740372133,-0.06840405123286124,0.3731016627676335,0.1142189202210079,-0.0033565683878836274,0.2352129349519746,0.26697359797568565,-0.23257414311694063,0.056739287062877876,0.16658991575484267,0.15310320357293214,0.7512831001870667,-0.389355422549577,-0.02522178915707099,0.2664367032843024
2-2019,0.35545152105694905,-0.02437271863159128,0.5557240675808099,-0.07060761982473882,-0.09233894244332656,0.25404960525002274,0.08917443218069522,-0.16306424740690345,-0.01534804838562667,0.021083967378330636,0.18541345665562783,0.7652027569564103,-0.1912882212644275,-0.032289745181185686,0.5154587259493314
3-2019,0.12437304415383746,0.16579954774109262,0.05468231198920134,0.0323596239567012,0.07079392705697507,0.3615422592980004,0.12715984010347267,0.15126801765632664,-0.012093259953385213,0.26321251394320283,0.299379771613592,0.7668522866852719,-0.26664959483331085,-0.07248338751470274,0.3924622068672173
4-2019,0.41314523934565683,0.20280871444754534,0.3912291285986484,0.04778948693353704,0.15212207952291457,0.23274254662563637,0.09515763957308841,-0.03278312839899478,0.09216923684564603,0.18078257718132454,0.2829387280326737,0.8475060655645206,-0.3192973927838228,-0.006548531026610358,0.37339658592268193
5-2019,0.6051866544559654,0.38520490540323526,0.4307218363969596,0.15593014726626414,0.23033585215213606,0.21248030590410544,0.25965075803280396,0.005453637247429318,0.09045633878619264,0.0478813927143781,-0.06303499581161374,0.6115897855459441,-0.276720834113909,-0.04045199848957677,0.2314861392627572
6-2019,0.4639303990034679,0.3268789144050104,0.5093003067125031,-0.2073852317067348,0.2815184744725454,-0.1653152791461768,-0.048619134631660725,-0.23036640948780243,-0.03136417692785125,-0.015053667767655241,-0.07708464446460271,0.5599517576031146,-0.26553881882836006,0.1266252240678128,0.011029995789912282
7-2019,-0.17879732098126955,-0.13694557867430782,0.0730291791089119,-0.09123427507084075,-0.15751467763703952,-0.25699992187466086,0.03436495136507495,-0.1463233387059878,0.04746646035790086,0.05753801014761348,0.1701769716223824,-0.16355075911540243,-0.011061174732388204,-0.00022998664938816686,-0.10639428644198543
8-2019,0.5618275214952924,0.46099978585821677,0.30147281441415036,-0.12759070906098754,0.21104030280085798,0.21905042990637977,-0.25521367280239926,0.02496815510550361,-0.071803046020165,-0.05981807646734577,-0.1824887477810233,0.24405075542862598,-0.21416289356965268,0.00013910650653865684,0.021584946115217513
9-2019,0.3492345188485445,-0.01534755151649725,0.25280191676902203,-0.04119948624672449,0.1909694139241485,-0.11351524963215986,-0.18512273112326236,0.04118664906278482,0.009475844079184371,0.06876288525557836,-0.1038127447589504,-0.03771231497895824,-0.20724483015049955,-0.09726197769470735,0.03871344096395383
10-2019,0.6638045304016075,0.16736411616369862,0.43197135360675204,-0.008293872803267374,0.25139735849547956,0.054740797486100196,-0.18914361607472255,0.23700711792407544,-0.0009454251103520415,0.03393884088038576,0.03197485666170426,0.6074694334610827,-0.09905902906799899,-0.05270867061054951,0.07951889982161381
11-2019,0.40141667281542015,0.08534487996909708,0.36314166845183987,0.11416575158746348,0.029698154071849267,-0.1295026237093043,-0.4205752846149506,0.14073564069113914,-0.052448469828428074,-0.24780435244944637,0.1193282088897955,0.6205990477389224,-0.2584856666718842,-0.014944509307766092,0.3897271689547263
12-2019,0.34045959400865455,0.0580413760476391,0.4217029593689362,0.18002248273647017,0.07918046519299128,-0.2555858532372102,-0.4021713418895047,-0.06661574232678265,-0.05244868684325886,-0.18471488591530344,0.1607503721804348,0.6896735662915202,-0.38360166449294675,0.0021282644455922115,0.2426329975390518
1-2020,0.4676159618748344,0.041682906609837714,0.44030255341291435,0.0448057500249567,0.05498016484446546,-0.21082719543053569,-0.43103138468482927,0.16671286370127844,-0.07684061128737538,-0.19974978190009504,0.23013771761162155,0.727138898172301,-0.28164359880270784,0.016906106363308866,0.30205382835863
2-2020,0.2275240994969596,-0.020805211828176337,0.17232861571083932,-0.04375398764751583,-0.052858410843797055,-0.19516968389619743,-0.45602834647719814,0.5197709071901566,-0.11190760376564134,-0.35842158603118934,0.1897791440067014,0.6965466429975824,-0.24876135384387765,0.1527114918033498,0.3624619681509034
3-2020,0.09134512302570758,0.16625907664529793,-0.07561697316394603,0.08214347718523082,0.08794721331255778,0.281519993576361,-0.20279710415409788,0.6009487888402293,-0.049848849170352295,-0.0974411781301134,0.1649296437918567,0.7540494967426072,-0.11993172713423235,0.14766394385392295,0.4294563995503452
4-2020,0.3854664082743414,0.08932037465440387,0.28948400383682216,-0.08272062812772625,0.13850483292028176,0.23113566031102561,-0.282351377393131,0.33798529941536204,0.012306042994978277,0.08559672568023298,-0.1114991818540879,0.63267787620606,-0.26484240382987767,-0.03443016245730233,0.31492476095816385
5-2020,0.6787290743449407,0.124274193898411,0.3073659173867942,0.11725625979279423,0.34485338478031585,-0.1445877586274246,-0.1958222474923936,-0.1134668553248929,-0.06647077461273702,-0.0717261142626487,0.09951149961588374,0.7054902582042456,-0.2585710007421907,-0.0836795081575875,0.19887944392119755
6-2020,0.0448005712827085,-0.11820992864495913,-0.05403485275231507,-0.015247478718805585,-0.051343056929152135,-0.13127498383239508,-0.2009520440626912,-0.009256984873441967,0.010362675185222157,-0.05589759504164513,0.24137923551229218,0.46498308475385425,0.03865723710454747,0.04867932168879002,0.033310959070328126
7-2020,0.13986110399314342,0.3236101020740542,-0.11270602670419128,0.08527890681103766,0.2042651671101461,0.15192546408621563,-0.043034909005681445,-0.004662509638849874,0.10974515948419915,0.11114718379854077,0.032156932104740035,0.34498359367879194,-0.4656949176046191,-0.06345925980581513,0.1395272982955655
8-2020,0.05925824326157164,0.21771951472205553,0.19064118462966864,0.05807514966087987,0.04518453384402324,0.13295424459307548,-0.05523396518740223,0.14014687563748104,-0.0010348352206389782,0.17356325331273137,-0.0029358880036323017,0.3106308189258441,-0.37631911520260625,-0.039949051363317126,-0.026105545810635684
9-2020,0.3564074713865945,0.17943762776748162,0.4683703019946189,0.030955646508882415,0.046870863154787994,0.11987725641170315,-0.2108614837738011,0.07941577214047983,0.04571797186619733,0.14805674069765926,-0.08270706470080165,0.40580134896418824,-0.20960943945171753,-0.04853786257752854,0.13186059835329147
10-2020,0.5275897464832746,0.08776068906549073,0.3312163445592306,-0.04961208598995655,0.007366134401625005,-0.3141160551912117,-0.47868035451542756,-0.13605229775444716,-0.11860175174371414,-0.15544099583765553,0.09501614590341102,0.565603583348886,-0.002797972289321252,0.12558637407280412,0.15538750168186494
11-2020,0.6081932864291946,0.16940340452866548,0.37993254039548097,-0.0683619503556873,0.10013194501712246,-0.2731495145378235,-0.3516618995742169,-0.22879234037453353,-0.06804586825463652,-0.1594710697529069,0.01974910915411959,0.6764253534086518,-0.21951804856786625,0.02691005603322931,0.3231886857147817
12-2020,0.36307568609238755,0.10018967096211354,0.3372725142036207,0.04460208160625697,0.040634507962274136,-0.18532448057500245,-0.42775066298030806,-0.06587007756110053,-0.06952905611569495,-0.14132656825767473,0.02513595979149215,0.6209827299597653,-0.32085317210578174,-0.042512228785715214,0.17126083446542734
Mean,0.3115123402030397,0.11265985977590894,0.27025718174363306,-0.0010255974976072597,0.09568237800184752,0.0009131753196537595,-0.13599289022118166,0.03162754283059653,-0.007849786954440465,-0.024893743238412914,0.049899777839329314,0.5228803846360757,-0.22329885848213044,0.012695945893947432,0.18813156164894143
