,CO_NLST,NO2_NLST,O3_NLST,SO2_NLST,HCHO_NLST,CO_NDVI,NO2_NDVI,O3_NDVI,SO2_NDVI,HCHO_NDVI
Jun-18,0.265736107,0.330430107,0.25454662,-0.071635115,0.253217816,0.141673466,0.077489703,-0.060158523,-0.062212944,0.087696344
Jul-18,-0.195790974,0.021474319,-0.067028667,-0.085355108,0.179134749,0.093345566,-0.008925281,0.137553874,-0.028476035,-0.095679777
Aug-18,-0.19523826,-0.029708996,0.15789644,0.168653598,-0.036075714,0.253241334,0.096536459,0.242226095,0.031864722,0.047491743
Sep-18,0.491096424,0.37028124,0.295173435,-0.136358665,0.241686379,0.068100773,-0.243206629,0.019489506,0.069179337,-0.185259702
Oct-18,0.352011086,-0.107262076,0.277824239,-0.008719764,0.00069716,-0.191874319,-0.144773957,-0.061962347,-0.063803879,-0.123014857
Nov-18,0.255846278,-0.032614182,0.292103001,-0.111034445,0.04102763,-0.192980064,-0.099361434,-0.061279999,0.086900876,-0.074674261
Dec-18,0.453392918,-0.028159519,0.334022238,-0.088940382,0.076082578,-0.25506122,0.071031884,-0.251186427,0.047495974,-0.039553666
Jan-19,0.179929817,-0.068404051,0.373101663,0.11421892,-0.003356568,0.235212935,0.266973598,-0.232574143,0.056739287,0.166589916
Feb-19,0.355451521,-0.024372719,0.555724068,-0.07060762,-0.092338942,0.254049605,0.089174432,-0.163064247,-0.015348048,0.021083967
Mar-19,0.124373044,0.165799548,0.054682312,0.032359624,0.070793927,0.361542259,0.12715984,0.151268018,-0.01209326,0.263212514
Apr-19,0.413145239,0.202808714,0.391229129,0.047789487,0.15212208,0.232742547,0.09515764,-0.032783128,0.092169237,0.180782577
May-19,0.605186654,0.385204905,0.430721836,0.155930147,0.230335852,0.212480306,0.259650758,0.005453637,0.090456339,0.047881393
Jun-19,0.463930399,0.326878914,0.509300307,-0.207385232,0.281518474,-0.165315279,-0.048619135,-0.230366409,-0.031364177,-0.015053668
Jul-19,-0.178797321,-0.136945579,0.073029179,-0.091234275,-0.157514678,-0.256999922,0.034364951,-0.146323339,0.04746646,0.05753801
Aug-19,0.561827521,0.460999786,0.301472814,-0.127590709,0.211040303,0.21905043,-0.255213673,0.024968155,-0.071803046,-0.059818076
Sep-19,0.349234519,-0.015347552,0.252801917,-0.041199486,0.190969414,-0.11351525,-0.185122731,0.041186649,0.009475844,0.068762885
Oct-19,0.66380453,0.167364116,0.431971354,-0.008293873,0.251397358,0.054740797,-0.189143616,0.237007118,-0.000945425,0.033938841
Nov-19,0.401416673,0.08534488,0.363141668,0.114165752,0.029698154,-0.129502624,-0.420575285,0.140735641,-0.05244847,-0.247804352
Dec-19,0.340459594,0.058041376,0.421702959,0.180022483,0.079180465,-0.255585853,-0.402171342,-0.066615742,-0.052448687,-0.184714886
Jan-20,0.467615962,0.041682907,0.440302553,0.04480575,0.054980165,-0.210827195,-0.431031385,0.166712864,-0.076840611,-0.199749782
Feb-20,0.227524099,-0.020805212,0.172328616,-0.043753988,-0.052858411,-0.195169684,-0.456028346,0.519770907,-0.111907604,-0.358421586
Mar-20,0.091345123,0.166259077,-0.075616973,0.082143477,0.087947213,0.281519994,-0.202797104,0.600948789,-0.049848849,-0.097441178
Apr-20,0.385466408,0.089320375,0.289484004,-0.082720628,0.138504833,0.23113566,-0.282351377,0.337985299,0.012306043,0.085596726
May-20,0.678729074,0.124274194,0.307365917,0.11725626,0.344853385,-0.144587759,-0.195822247,-0.113466855,-0.066470775,-0.071726114
Jun-20,0.044800571,-0.118209929,-0.054034853,-0.015247479,-0.051343057,-0.131274984,-0.200952044,-0.009256985,0.010362675,-0.055897595
Jul-20,0.139861104,0.323610102,-0.112706027,0.085278907,0.204265167,0.151925464,-0.043034909,-0.00466251,0.109745159,0.111147184
Aug-20,0.059258243,0.217719515,0.190641185,0.05807515,0.045184534,0.132954245,-0.055233965,0.140146876,-0.001034835,0.173563253
Sep-20,0.356407471,0.179437628,0.468370302,0.030955647,0.046870863,0.119877256,-0.210861484,0.079415772,0.045717972,0.148056741
Oct-20,0.527589746,0.087760689,0.331216345,-0.049612086,0.007366134,-0.314116055,-0.478680355,-0.136052298,-0.118601752,-0.155440996
Nov-20,0.608193286,0.169403405,0.37993254,-0.06836195,0.100131945,-0.273149515,-0.3516619,-0.22879234,-0.068045868,-0.15947107
Dec-20,0.363075686,0.100189671,0.337272514,0.044602082,0.040634508,-0.185324481,-0.427750663,-0.065870078,-0.069529056,-0.141326568
Jan-21,0.50347061,0.234330444,0.29495191,0.07729146,0.161456755,-0.170222419,-0.383344546,0.035571009,-0.027610471,-0.250161568
Feb-21,0.280266733,-0.069830815,0.231434924,-0.004641947,0.025867191,-0.17695845,-0.477993069,0.479511847,-0.026159619,-0.287313096
Mar-21,0.195704408,0.030784639,0.040031315,0.010258183,0.002862751,-0.061564286,-0.4027269,0.512465766,0.017709712,-0.317367371
Apr-21,0.458993095,0.221404932,0.340642221,-0.049602429,0.168754639,-0.211032274,-0.379481356,0.031972199,0.121780693,-0.143678901
May-21,0.515508274,0.373146693,0.476045833,0.083577186,0.185867018,-0.302920811,-0.207727356,-0.25503037,0.032907152,-0.241289025
Jun-21,0.085753684,0.321429889,0.393545685,0.023539816,0.22218293,0.177368884,-0.148273647,0.022535093,0.058157045,0.0072407
Jul-21,0.564013797,0.286297522,0.507886391,-0.145250278,0.129250729,0.164487042,0.125075579,0.335401476,0.042216221,0.011431148
Aug-21,0.414353903,0.364165318,0.428407687,-0.103026055,0.224446829,0.176088763,-0.152711058,0.198860352,-0.068971871,0.113590662
Sep-21,-0.10308688,-0.438803403,-0.229959688,-0.062846037,-0.337197428,0.093649169,-0.2697069,0.064171781,-0.039972396,0.032031823
Oct-21,0.355344641,0.210705233,0.162409559,-0.017145257,-0.111952634,-0.288142201,-0.582797451,0.098922196,-0.019722091,-0.052783649
Nov-21,0.46034922,0.021340262,0.349380748,-0.026792434,-0.014291837,-0.17151268,-0.361543561,0.147139419,-0.053621218,-0.057797777
Dec-21,0.377098652,0.094266251,0.293256389,0.114082418,0.095286546,-0.30821071,-0.515950048,-0.031367597,-0.08133781,-0.22387098
Jan-22,0.551051545,0.182698601,0.327521604,0.126310119,0.137747885,-0.261096728,-0.31618399,-0.146704738,-0.06206342,-0.183749278
Feb-22,0.45243176,0.27763673,0.137949658,0.084315253,0.192275466,-0.226232536,-0.573987626,0.393117548,-0.047920998,-0.21739146
Mar-22,0.505481469,0.160021528,0.132481431,0.089268617,0.055057748,-0.240301282,-0.636340327,0.486313932,-0.000329103,-0.458777816
Apr-22,0.341473162,0.258337167,0.170940304,-0.028064792,0.215101797,0.008563622,-0.27195181,0.270129319,0.21742488,-0.097773105
May-22,0.560430384,0.607274771,0.265753494,0.127075204,0.430877847,-0.305490041,-0.245043815,-0.118712867,-0.036215109,-0.192188877
Jun-22,0.503722578,0.729686435,0.164834935,0.008856375,0.348506178,-0.194734466,-0.396767998,-0.154662526,0.040607056,-0.092629742
Jul-22,0.293593846,0.219976047,0.180323312,-0.039153636,0.025156429,-0.087148764,-0.086413895,-0.079000508,0.063082088,-0.125894101
Aug-22,0.223850094,-0.14270144,0.077092692,0.00781786,-0.092219361,0.125490019,-0.380664087,0.084661073,0.085459572,-0.101432081
Sep-22,0.336651526,0.154941161,0.008472423,0.0172708,-0.00082509,-0.03089868,-0.361689188,0.265830827,0.1540049,-0.219927278
Oct-22,0.40416918,-0.036753523,0.178526062,0.075718645,0.015225598,-0.326930998,-0.404529859,0.162248647,-0.038095977,-0.266582219
Nov-22,0.175961701,0.201768237,0.443625406,-0.018567355,0.055073698,-0.139941688,-0.385817538,0.180264346,-0.112933758,-0.146649617
Dec-22,0.542168369,-0.182149771,0.439600119,0.069012886,0.20665617,-0.258177987,-0.314966319,0.131205163,-0.063376035,-0.210446551
Jan-23,0.562656088,0.038232479,0.368145444,0.016021988,0.187717829,-0.158559065,-0.526300136,0.283915473,-0.060087717,-0.279098976
Feb-23,0.047185535,-0.15426955,0.156328048,0.162311034,-0.104181116,-0.295288608,-0.619835373,0.060325513,0.11528902,-0.463939948
Mar-23,0.555352779,0.083066333,0.282268431,0.115171724,0.123790251,-0.095826371,-0.439197978,0.466372588,0.032542567,-0.153405831
Apr-23,0.448896154,0.298313144,0.107571816,-0.068211993,0.156985549,-0.062482802,-0.275344077,0.157578546,0.049368921,-0.007493685
May-23,0.608993529,0.568126489,0.235294938,-0.164665971,0.388107804,-0.139044549,-0.143054006,-0.265751725,0.08562765,-0.15753074
Jun-23,0.518119545,0.490225326,0.318489943,-0.04003609,0.366682798,-0.094630728,-0.038736171,-0.09696326,-0.019778949,-0.046941827
Jul-23,-0.097864237,0.192804864,-0.068626638,-0.009709832,-0.019195823,0.044379588,0.018682375,0.218472857,0.12074358,0.166103156
Aug-23,0.502408539,0.595327996,0.053495895,-0.017297167,0.291961445,0.231957061,-0.14224172,0.145568945,-0.061750594,-0.0377519
Sep-23,-0.053553636,0.02602388,0.17149641,-0.205747876,-0.009077832,0.237816245,-0.336652828,-0.257255891,0.007527376,-0.287478244
Oct-23,0.396259424,-0.101228304,0.325014558,0.018133217,-0.049293508,-0.26573759,-0.380368079,0.051483842,0.115322224,-0.217650684
Nov-23,0.300932947,0.307103329,0.218731316,0.014066467,0.133069375,-0.109422133,-0.258884153,-0.088377827,0.036481712,-0.033761215
Dec-23,0.442250901,0.020837981,0.311104757,0.069963954,0.102596043,-0.07327506,-0.140532619,-0.073335605,-0.090576999,-0.036104107
Mean,0.341601132,0.148313321,0.248842417,0.004141948,0.102634095,-0.056233956,-0.233280315,0.070109413,0.003617684,-0.090301048
